CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120248,"Wang, Yu",,,,,16,5,3,1,1,0,1,1,0,0,0,0,0,0,3.77
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120248,"Wang, Yu",,,,,14,5,2,1,1,1,0,1,0,0,1,0,0,0,3.67
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120248,"Kim, Gabriel D",,,,,9,5,2,0,6,0,0,0,1,0,0,0,0,0,3.61
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120248,"Kim, Gabriel D",,,,,14,6,1,0,2,1,0,0,0,0,0,0,1,0,3.69
59820,AAS,100,Intro Asian American Studies,AD9,DIS,120248,"Mukhopadhyay, Anirban",,,,,15,4,2,3,0,0,1,0,0,1,0,0,0,0,3.73
59821,AAS,100,Intro Asian American Studies,ADA,DIS,120248,"Mukhopadhyay, Anirban",,,,,19,5,2,0,1,0,0,0,0,0,0,0,0,0,3.94
51394,AAS,120,Intro to Asian Am Pop Culture,A,LCD,120248,"Huang, Ningning",,,,,0,16,1,2,1,0,0,1,0,0,0,0,0,0,3.78
67473,AAS,200,U.S. Race and Empire,C,LCD,120248,"Siglos, David G",,,,,2,15,4,1,3,2,0,1,1,0,0,0,1,0,3.47
66200,AAS,246,Asian American Youth in Film,A,LCD,120248,"Kwon, Soo Ah",,,,,6,21,2,0,0,0,0,0,1,0,0,0,0,0,3.9
78644,ABE,127,Intro Agric & Biological Engr,RBH,LEC,120248,"Bhattarai, Rabin",,,,,2,44,4,1,0,0,0,0,0,0,0,0,0,0,3.96
75460,ABE,232,Context Intl Interventions,APW,LCD,120248,"Witmer, Ann-Perry",,,,,21,32,3,2,1,1,0,1,0,0,1,1,1,1,3.73
64779,ABE,430,Project Management,AL1,OLC,120248,"Davidson, Paul C",,,,,2,75,0,7,7,0,0,1,0,0,0,0,0,0,3.85
68450,ABE,436,Renewable Energy Systems,XW1,LEC,120248,"Malvandi, Amir",,,,,3,15,2,3,2,0,0,0,0,0,0,0,0,0,3.81
72232,ABE,498,Eng Design for Solar SmartHome,XW1,ONL,120248,"Stillwell, Andrew R",,,,,0,35,2,0,0,0,0,1,0,0,0,0,0,0,3.91
39539,ACCY,200,Fundamentals of Accounting,B,ONL,120248,"Zhang, Li",,,,,44,72,33,24,11,5,4,0,1,0,0,0,1,0,3.7
29670,ACCY,200,Fundamentals of Accounting,OL,ONL,120248,"Green, Danielle H",,,,,142,75,31,16,15,3,5,3,1,1,2,0,0,0,3.78
36474,ACCY,201,Accounting and Accountancy I,AL1,LEC,120248,"Fisher, Mitchell B",,,,,62,48,41,23,21,12,5,18,12,1,4,1,2,2,3.34
36477,ACCY,201,Accounting and Accountancy I,AL2,LEC,120248,"Fisher, Mitchell B",,,,,60,50,20,17,20,13,16,17,7,4,4,5,1,1,3.25
36549,ACCY,202,Accounting and Accountancy II,AL1,LEC,120248,"Shapland, Julia P",,,,,47,75,28,32,46,15,12,12,6,0,8,0,0,2,3.36
36577,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120248,"Wolfe, Karneisha T",,,,,6,4,0,4,1,1,1,3,0,0,2,0,2,0,2.89
36581,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120248,"Wolfe, Karneisha T",,,,,7,4,0,6,6,2,2,0,2,0,0,0,0,0,3.29
36584,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120248,"Wolfe, Karneisha T",,,,,9,6,1,3,4,1,3,0,1,1,1,0,0,0,3.31
36587,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120248,"Johnson, Jennifer A",,,,,2,3,8,6,6,3,0,0,1,0,0,0,0,0,3.35
36592,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120248,"Vandenberg, Alex J",,,,,7,6,3,4,4,3,1,2,1,0,0,0,0,0,3.37
36598,ACCY,301,Atg Measurement & Disclosure,AE8,LCD,120248,"Vandenberg, Alex J",,,,,3,6,6,5,3,3,0,0,4,0,0,0,0,1,3.28
49255,ACCY,301,Atg Measurement & Disclosure,AEB,LCD,120248,"Vandenberg, Alex J",,,,,7,3,8,3,2,3,0,3,0,0,0,0,0,0,3.43
36614,ACCY,302,Decision Making for Atg,AE2,LCD,120248,"Choy, So Yeoun",,,,,2,11,5,9,3,1,0,0,1,0,0,0,1,0,3.44
36618,ACCY,302,Decision Making for Atg,AE3,LCD,120248,"Choy, So Yeoun",,,,,5,9,7,6,2,2,2,0,0,0,0,0,0,0,3.57
36677,ACCY,302,Decision Making for Atg,AE4,LCD,120248,"Curtis, Susan M",,,,,3,12,6,4,3,3,1,1,0,0,0,0,0,0,3.54
36680,ACCY,302,Decision Making for Atg,AE5,LCD,120248,"Curtis, Susan M",,,,,0,7,6,12,1,0,5,1,0,1,0,0,0,0,3.27
36688,ACCY,302,Decision Making for Atg,AE8,LCD,120248,"Curtis, Susan M",,,,,1,6,3,7,2,2,2,0,0,0,0,0,0,0,3.41
49258,ACCY,302,Decision Making for Atg,AEA,LCD,120248,"Choy, So Yeoun",,,,,2,7,4,6,2,4,5,0,2,0,0,0,0,1,3.2
36700,ACCY,303,Atg Institutions and Reg,AE2,LCD,120248,"Hamm, Brian K",,,,,0,21,1,3,0,5,2,1,0,0,1,0,0,0,3.49
36701,ACCY,303,Atg Institutions and Reg,AE3,LCD,120248,"Hamm, Brian K",,,,,0,15,2,5,2,8,0,1,0,0,0,2,0,0,3.28
36713,ACCY,303,Atg Institutions and Reg,AE4,LCD,120248,"Hamm, Brian K",,,,,0,18,3,2,5,0,5,1,0,1,0,0,2,0,3.23
49259,ACCY,303,Atg Institutions and Reg,AE5,LCD,120248,"Pachera, Susan",,,,,2,8,4,5,5,6,1,2,1,0,0,0,0,0,3.25
36703,ACCY,303,Atg Institutions and Reg,AE6,LCD,120248,"Pachera, Susan",,,,,12,4,5,2,3,0,1,1,2,0,0,0,1,0,3.41
67818,ACCY,303,Atg Institutions and Reg,AE7,LCD,120248,"Pachera, Susan",,,,,6,11,1,2,8,3,1,2,0,1,0,0,0,0,3.37
31317,ACCY,304,Accounting Control Systems,AE1,LCD,120248,"Williamson, Michael",,,,,0,13,6,8,2,1,3,2,2,0,0,0,1,1,3.25
31318,ACCY,304,Accounting Control Systems,AE2,LCD,120248,"Williamson, Michael",,,,,0,10,9,10,7,3,0,0,0,0,0,0,1,0,3.38
31319,ACCY,304,Accounting Control Systems,AE3,LCD,120248,"Dahle, Andrew J",,,,,6,11,1,5,15,1,1,0,0,0,0,0,0,0,3.46
31320,ACCY,304,Accounting Control Systems,AE4,LCD,120248,"Dahle, Andrew J",,,,,1,9,4,5,13,2,2,2,0,0,0,0,0,0,3.27
49280,ACCY,304,Accounting Control Systems,AE5,LCD,120248,"Dahle, Andrew J",,,,,7,9,4,0,10,6,0,3,0,0,0,0,1,0,3.27
31321,ACCY,312,Principles of Taxation,A,LCD,120248,"Richter, Stefan J",,,,,5,5,3,8,8,4,1,0,0,0,0,0,0,0,3.37
31330,ACCY,312,Principles of Taxation,C,LCD,120248,"Richter, Stefan J",,,,,2,8,7,4,1,8,0,2,0,0,0,0,0,1,3.36
31332,ACCY,312,Principles of Taxation,D,LCD,120248,"Richter, Stefan J",,,,,1,1,8,7,1,6,0,0,0,1,0,0,0,0,3.24
31333,ACCY,312,Principles of Taxation,E,LCD,120248,"Vuong, Anh",,,,,4,6,6,5,6,1,0,4,0,0,0,0,0,0,3.35
45719,ACCY,312,Principles of Taxation,F,LCD,120248,"Vuong, Anh",,,,,6,3,3,6,4,1,0,4,0,0,0,0,0,0,3.32
45934,ACCY,312,Principles of Taxation,G,LCD,120248,"Holder, Charles B",,,,,0,6,9,5,4,3,1,2,0,0,0,0,0,1,3.33
36754,ACCY,405,Assurance and Attestation,AE1,LCD,120248,"Rogowski, Edward J",,,,,0,9,15,4,3,2,0,0,0,0,0,0,0,0,3.6
36758,ACCY,405,Assurance and Attestation,AE2,LCD,120248,"Rogowski, Edward J",,,,,0,24,6,2,2,1,0,0,0,0,0,0,0,0,3.81
36764,ACCY,405,Assurance and Attestation,AE3,LCD,120248,"Thompson, Anne M",,,,,0,4,7,5,9,3,1,0,0,0,0,0,0,0,3.3
36768,ACCY,405,Assurance and Attestation,AE4,LCD,120248,"Thompson, Anne M",,,,,0,6,15,4,4,2,1,0,0,0,0,0,0,0,3.5
36771,ACCY,405,Assurance and Attestation,AE5,LCD,120248,"Thompson, Anne M",,,,,0,3,6,3,8,3,1,0,0,0,0,0,0,0,3.26
36775,ACCY,405,Assurance and Attestation,AE6,LCD,120248,"Rogowski, Edward J",,,,,0,17,6,6,2,3,0,0,0,0,0,0,0,0,3.65
61231,ACCY,410,Advanced Financial Reporting,B3,LCD,120248,"Kustanovich, Michael",,,,,1,7,8,3,5,7,2,0,0,0,0,0,0,0,3.32
62729,ACCY,410,Advanced Financial Reporting,C3,LCD,120248,"Kustanovich, Michael",,,,,1,13,4,1,5,4,4,3,0,0,0,0,0,0,3.26
62730,ACCY,410,Advanced Financial Reporting,D3,LCD,120248,"Ibrahim, Adel Nematallah",,,,,1,7,7,6,10,1,0,0,1,0,0,0,0,1,3.38
62731,ACCY,410,Advanced Financial Reporting,E3,LCD,120248,"Ibrahim, Adel Nematallah",,,,,0,6,7,5,8,3,2,1,1,0,0,0,0,3,3.23
49130,ACCY,451,Advanced Income Tax Problems,A3,LCD,120248,"Beardsley, Erik L",,,,,0,6,9,11,7,1,0,1,0,0,0,0,0,0,3.39
