CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120258,"Kim, Gabriel D",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120258,"Wang, Yu",,,,,18,4,2,0,1,1,0,0,0,0,0,0,0,0,3.89
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120258,"Kim, Gabriel D",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120258,"Wang, Yu",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120258,"Charity, Hannah L",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120258,"Charity, Hannah L",,,,,9,6,3,1,2,0,0,1,0,0,0,0,2,0,3.43
59818,AAS,100,Intro Asian American Studies,AD7,DIS,120258,"Roy, Sayak",,,,,13,5,2,0,0,0,1,0,0,1,0,0,0,0,3.77
59819,AAS,100,Intro Asian American Studies,AD8,DIS,120258,"Roy, Sayak",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59820,AAS,100,Intro Asian American Studies,AD9,DIS,120258,"Mukhopadhyay, Anirban",,,,,17,4,0,3,0,1,1,1,0,0,0,0,0,0,3.74
59821,AAS,100,Intro Asian American Studies,ADA,DIS,120258,"Mukhopadhyay, Anirban",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67473,AAS,200,U.S. Race and Empire,C,LCD,120258,"Siglos, David G",,,,,8,8,1,5,1,3,1,0,0,1,0,0,3,0,3.19
80567,AAS,203,"Race, Science, and Technology",A,LCD,120258,"Huang, Ningning",,,,,5,22,2,1,1,0,1,1,2,0,0,0,0,0,3.7
67896,AAS,211,Asian Americans and the Arts,B,LCD,120258,"Sawada, Emilia R",,,,,0,29,2,0,0,1,0,0,0,0,0,0,0,0,3.94
55765,AAS,215,US Citizenship Comparatively,A,LCD,120258,"Siglos, David G",,,,,3,11,4,3,4,3,2,2,1,0,0,0,0,0,3.36
58913,AAS,258,Muslims in America,A,LCD,120258,"Rana, Junaid",,,,,2,20,1,1,1,0,0,0,0,0,0,0,1,0,3.77
42862,AAS,365,Asian American Media and Film,A,LCD,120258,"Kashani, Maryam",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54236,AAS,501,Theory and Methods in AAS,A,LCD,120258,"Sawada, Emilia R",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
