CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120141,"Thomas, Merin A",1,17,8,3,2,1,0,0,0,0,0,0,1,1,3.64,1.588386423,55%
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120141,"Thomas, Merin A",8,19,4,2,0,0,0,0,0,0,0,0,1,0,3.8,1.792205345,79%
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120141,"Kim, Sujung",9,13,8,4,0,0,0,0,0,0,0,0,0,0,3.84,0.686731389,65%
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120141,"Kim, Sujung",11,16,3,2,0,0,1,0,0,0,0,0,0,0,3.88,0.855008772,82%
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120141,"Livingston, Susan B",0,27,6,0,1,0,0,0,0,1,0,0,0,0,3.84,1.411205159,77%
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120141,"Livingston, Susan B",0,17,8,6,1,1,0,0,0,0,0,0,0,0,3.73,0.888785688,52%
54572,AAS,100,Intro Asian American Studies,C,LCD,120141,"Kwon, Yaejoon",3,10,7,6,5,1,1,0,0,0,0,0,0,0,3.57,0.99668737,39%
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120141,"Chin, Christina B",2,7,10,0,8,3,0,1,0,0,0,0,0,0,3.44,1.208552854,29%
57231,AAS,246,Asian American Youth in Film,A,LCD,120141,"Kwon, Soo Ah",0,28,12,2,8,3,1,1,1,0,0,0,0,1,3.58,1.498015354,50%
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120141,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120141,"Clutario, Genevieve A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52839,AAS,561,Race and Cultural Critique,A,LCD,120141,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120141,"Danao, Mary-Grace",0,4,14,12,8,3,3,4,2,1,0,0,0,0,3.12,1.606251675,8%
