Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,200,37453,Fundamentals of Accounting,ONL,2,13,9,6,6,5,4,1,0,1,0,0,0,0,3.34,"Silhan, Peter A"
ACCY,202,30562,Accounting and Accountancy II,ONL,15,6,3,2,8,1,0,1,3,0,1,0,0,0,3.41,"Shapland, Julia P"
ACCY,501,30083,Accounting Analysis I,LCD,1,11,5,7,4,1,0,2,2,0,0,0,0,0,3.38,"Ibrahim, Adel Nematallah"
ACCY,501,32912,Accounting Analysis I,LCD,3,2,7,6,4,2,1,1,0,0,0,0,0,0,3.36,"Augusto Sampaio, Gerlando"
ACCY,501,41040,Accounting Analysis I,LCD,6,3,7,2,7,0,1,1,1,0,0,0,0,1,3.41,"Augusto Sampaio, Gerlando"
ACCY,503,40498,Managerial Accounting,ONL,30,79,32,22,21,12,2,2,3,0,0,0,0,0,3.62,"Fisher, Mitchell B"
ACCY,503,38412,Managerial Accounting,ONL,0,2,5,6,5,1,2,1,1,0,0,0,1,0,3.01,"Fisher, Mitchell B"
ACCY,532,41525,Accounting for M&As,ONL,140,11,3,4,1,1,0,0,0,1,0,0,0,0,3.95,"Urcan, Oktay"
ACCY,550,40958,Multistate Taxation,ONL,3,9,6,4,3,1,0,0,0,0,0,0,0,0,3.65,"Hutchens, Matthew"
ACCY,554,41527,International Taxation,ONL,2,4,9,8,0,0,0,0,0,0,0,0,0,0,3.64,"Hutchens, Matthew"
ACCY,593,30098,Adv Accy Theory & Practice,LCD,2,18,4,4,3,1,2,0,0,0,0,0,0,0,3.66,"Kustanovich, Michael"
ACE,240,37924,Personal Financial Planning,ONL,6,4,7,1,6,3,1,1,2,1,2,1,1,0,2.96,"Stoddard, Paul B"
ADV,281,38283,Advertising Research Methods,ONL,0,10,5,4,1,1,2,0,0,0,1,0,0,0,3.46,"Ham, Chang Dae"
AFRO,100,31247,Intro to African American St,ONL,1,5,15,5,3,6,2,0,0,1,0,1,4,0,2.96,"McMillion, Desiree Y"
AFRO,132,41330,African American Music,ONL,0,12,13,9,6,3,5,4,1,0,0,0,3,0,3.09,"Meyers, John P"
AFST,222,37829,Introduction to Modern Africa,ONL,2,5,5,0,4,3,1,0,1,0,1,0,0,0,3.24,"Barro, Maimouna A"
ANSC,205,40206,World Animal Resources,ONL,20,16,5,2,2,1,1,2,0,0,1,0,5,0,3.36,"Emmert, Jason L"
ANTH,103,36296,Anthro in a Changing World,ONL,10,14,3,5,1,4,1,1,0,2,2,1,1,0,3.27,"Shin, Jeongsu"
ANTH,180,40187,The Archaeology of Death,ONL,16,10,0,1,3,0,1,1,1,0,0,0,1,0,3.6,"Silverman, Helaine I"
ANTH,246,38262,Forensic Science,ONL,6,25,3,3,1,1,1,2,0,2,3,0,0,0,3.46,"Sgheiza, Valerie"
ART,100,35192,Understanding Visual Culture,ONL,0,15,2,2,5,1,0,1,0,0,2,0,1,0,3.3,"Hetrick, Laura"
