CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120155,"Silhan, Peter A",8,40,16,26,12,16,6,8,6,0,0,0,0,0,3.3,2.744691847,0.347826087
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120155,"Burke, Joseph W",2,6,10,22,14,4,0,0,0,0,0,0,0,0,3.36,1.159655121,0.137931034
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120155,"Yoon, Ha Young",2,10,16,4,14,8,0,0,0,0,0,0,0,0,3.4,1.411854572,0.222222222
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120155,"Cikurel, Deni",0,4,28,12,10,6,0,0,0,0,0,0,0,0,3.41,1.311335197,0.066666667
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120155,"Hudgins, Ryan M",4,8,16,12,4,2,0,8,0,0,0,0,0,0,3.33,1.811416178,0.222222222
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120155,"Wang, Dongyi",4,6,6,8,6,6,2,0,0,0,0,0,0,0,3.35,1.2221176,0.263157895
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120155,"Cheong, Seo Sun",8,8,12,10,6,0,0,4,0,0,2,0,0,0,3.39,1.973141078,0.32
30080,ACCY,312,Principles of Taxation,A,LCD,120155,"Gale, Brian T",12,14,0,4,16,0,0,6,0,0,2,0,0,0,3.32,2.411140809,0.481481481
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120155,"Hetrick, Kamber V",0,6,6,6,6,0,0,2,0,0,0,0,0,0,3.38,1.235669859,0.230769231
38235,ACCY,410,Advanced Financial Reporting,A3,LCD,120155,"Kustanovich, Michael",2,22,4,2,4,8,2,2,2,0,0,0,0,0,3.38,1.690207088,0.5
38236,ACCY,451,Advanced Income Tax Problems,A3,LCD,120155,"Sternburg, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PMB,LCD,120155,"Sandretto, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30083,ACCY,501,Accounting Analysis I,A,LCD,120155,"Ahmed, Waqar",6,18,16,4,12,0,0,0,0,0,0,0,0,0,3.64,1.307333163,0.428571429
