CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120111,"Kwon, Yaejoon",2,9,5,8,6,1,0,0,0,0,0,0,1,0,3.43,1.580271224,34%
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120111,"Kwon, Yaejoon",5,8,3,8,3,0,2,3,0,0,0,0,0,0,3.42,1.404625014,41%
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120111,"Arnaldo, Constancio",1,24,1,1,1,0,0,2,1,0,0,0,1,0,3.61,1.807733387,78%
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120111,"Arnaldo, Constancio",0,20,3,2,4,1,1,1,0,0,0,0,1,0,3.54,1.6858529,61%
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120111,"Winkelmann, Marie T",0,17,6,1,0,2,1,1,0,0,1,0,0,0,3.59,1.487994816,59%
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120111,"Winkelmann, Marie T",1,15,8,3,2,1,0,0,0,0,1,0,0,0,3.65,1.260243741,52%
51886,AAS,100,Intro Asian American Studies,B,LCD,120111,"Tsou, Elda",0,5,15,9,4,1,0,0,0,0,0,0,0,0,3.52,0.874939998,15%
54572,AAS,100,Intro Asian American Studies,C,LCD,120111,"Marasigan, Cynthia L",0,6,7,6,3,4,1,0,0,0,0,0,0,1,3.4,1.040833,22%
52801,AAS,120,Intro to Asian Am Pop Culture,AD1,DIS,120111,"Pham, Vincent N",1,2,7,2,3,3,3,2,1,0,1,1,0,1,2.91,1.387037392,12%
52802,AAS,120,Intro to Asian Am Pop Culture,AD2,DIS,120111,"Pham, Vincent N",0,0,2,4,6,6,2,2,1,1,0,0,0,0,2.76,1.008365013,0%
52803,AAS,120,Intro to Asian Am Pop Culture,AD3,DIS,120111,"Lee, Alexander J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52804,AAS,120,Intro to Asian Am Pop Culture,AD4,DIS,120111,"Lee, Alexander J",0,2,5,5,2,2,3,3,0,1,0,0,1,1,2.86,1.526011504,8%
43717,AAS,199,Undergraduate Open Seminar,AED,LCD,120111,"Espiritu, Augusto F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54575,AAS,211,Asian Americans and the Arts,100,LCD,120111,"Yang, Caroline H",1,14,7,1,0,0,0,0,0,1,0,0,0,0,3.76,1.196026756,63%
51119,AAS,258,Muslims in America,A,LCD,120111,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120111,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55769,AAS,315,"War, Memory, and Cinema",A,LCD,120111,"Ngo, Fiona",0,7,6,5,4,5,1,0,0,0,0,0,0,0,3.37,1.110045044,25%
46462,AAS,365,Asian American Media and Film,A,LCD,120111,"Ono, Kent A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51521,AAS,390,Eating America,MM,LCD,120111,"Manalansan, Martin F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30108,AAS,490,Transnationalism and Diaspora,MNU,LCD,120111,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52839,AAS,561,Race and Cultural Critique,A,LCD,120111,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47022,AAS,590,Digital Media Theory,L,LCD,120111,"Nakamura, Lisa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120111,"Danao, Mary-Grace",4,17,0,10,11,0,1,0,0,1,1,0,0,0,3.44,1.721461173,47%
29862,ABE,222,Agric & Biological Engrg II,AL1,,120111,,3,7,16,6,8,6,0,3,1,0,0,0,0,0,3.33,1.495869312,20%
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120111,"Grift, Tony E",0,14,0,8,3,2,0,0,0,0,0,0,0,0,3.59,1.188980656,52%
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120111,"Wang, Xinlei",5,8,7,10,16,1,1,2,1,0,1,0,0,1,3.31,1.467828328,25%
51916,ABE,446,Biological Nanoengineering,KB1,PKG,120111,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51917,ABE,446,Biological Nanoengineering,KB2,PKG,120111,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40185,ABE,456,Land & Water Resources Engrg,U3,PKG,120111,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51989,ABE,457,NPS Pollution Processes,PK1,LCD,120111,"Kalita, Prasanta K",2,16,0,1,2,0,0,0,0,0,0,0,0,0,3.87,0.731932374,86%
51990,ABE,458,NPS Pollution Modeling,RC1,LCD,120111,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120111,"Zahos, Stephen C",0,9,12,5,8,4,0,0,0,0,0,0,0,0,3.46,1.220393379,24%
49583,ABE,498,Special Topics,ECK,LEC,120111,"Eckhoff, Steven",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29881,ABE,502,Graduate Research II,E,DIS,120111,"Eckhoff, Steven",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51668,ABE,598,Automotive Bioenergy,ACH,DIS,120111,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51932,ABE,598,Special Topics,LS1,LCD,120111,"Schideman, Lance C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
