CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120161,"Peralta, Christine N",2,13,2,3,3,0,0,0,0,0,0,0,0,0,3.75,0.804673847,0.652173913
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120161,"Peralta, Christine N",5,19,1,2,1,0,1,0,0,0,1,0,0,0,3.76,1.316705846,0.8
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120161,"Thomas, Merin A",2,14,2,1,3,0,1,1,0,1,1,0,1,1,3.35,1.767696241,0.592592593
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120161,"Thomas, Merin A",0,21,2,3,3,3,1,0,0,0,0,0,1,0,3.55,1.761695612,0.617647059
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120161,"Lee, Sang S",5,21,2,3,1,0,0,1,0,0,0,0,0,0,3.83,0.971742421,0.787878788
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120161,"Lee, Sang S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51886,AAS,100,Intro Asian American Studies,B,LCD,120161,"Lee, Amy J",0,9,5,7,6,3,0,0,0,0,0,0,0,0,3.46,1.103992754,0.3
54575,AAS,211,Asian Americans and the Arts,100,LCD,120161,"Tagle, Thea Q",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51119,AAS,258,Muslims in America,A,LCD,120161,"Rana, Junaid",0,19,2,1,0,0,0,0,0,0,0,0,0,0,3.94,0.444672164,0.863636364
64476,AAS,299,Race and Criminalization,LC,LCD,120161,"Cacho, Lisa M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120161,"Arai, Sayuri",1,4,6,4,5,1,3,2,2,0,0,1,0,0,3.03,1.431436342,0.172413793
48718,AAS,390,Queer of Color Film,D,LCD,120161,"Pritchard, Eric D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52839,AAS,561,Race and Cultural Critique,A,LCD,120161,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120161,"Bhalerao, Kaustubh",3,7,12,4,6,2,3,1,0,0,0,0,1,0,3.33,1.620120023,0.256410256
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120161,"Zhang, Yuanhui",0,12,8,17,12,3,1,2,0,0,0,0,0,1,3.35,1.392710615,0.218181818
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120161,"Singh, Vijay",1,15,15,15,6,1,1,1,1,0,0,0,0,1,3.49,1.259170803,0.285714286
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120161,"Grift, Tony E",9,24,4,7,2,1,1,0,0,0,0,0,0,0,3.77,1.055813836,0.6875
47444,ABE,436,Renewable Energy Systems,XW1,LEC,120161,"Wang, Xinlei",3,4,12,17,4,0,3,0,0,0,1,0,1,0,3.3,1.763873578,0.155555556
47445,ABE,436,Renewable Energy Systems,XW2,LEC,120161,"Wang, Xinlei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
