CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120148,"Thomas, Merin A",2,7,4,4,5,1,2,2,0,0,0,1,2,0,3.03,1.940283484,30%
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120148,"Thomas, Merin A",6,19,2,2,1,1,0,1,0,0,0,0,1,0,3.69,1.606054949,76%
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120148,"Peralta, Christine N",2,15,6,2,2,2,0,0,0,0,0,0,0,0,3.72,0.894948788,59%
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120148,"Peralta, Christine N",1,14,7,5,0,0,2,2,0,0,0,0,0,0,3.58,1.378912615,48%
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120148,"Lee, Sang S",3,11,4,3,6,2,0,1,1,0,0,1,0,0,3.39,1.472231866,44%
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120148,"Lee, Sang S",2,9,4,5,4,2,0,4,0,0,0,0,1,0,3.25,1.756327845,35%
56496,AAS,100,Intro Asian American Studies,B,LCD,120148,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53947,AAS,211,Asian Americans and the Arts,A,LCD,120148,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58913,AAS,258,Muslims in America,A,LCD,120148,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58092,AAS,287,Food and Asian Americans,A,LCD,120148,"Manalansan, Martin F",7,15,2,3,3,1,1,0,0,0,0,0,1,0,3.62,1.594647296,67%
51335,AAS,390,"Race, Memory, and Violence",NPU,LCD,120148,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31301,AAS,490,Social Movements,JRU,LCD,120148,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120148,"Green, Angela R",0,23,0,0,22,0,0,5,0,0,3,0,2,0,3.11,3.386605971,42%
55376,ABE,199,Undergraduate Open Seminar,CHP,LCD,120148,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120148,"Grift, Tony E",8,36,3,2,3,0,0,0,0,1,1,0,0,0,3.8,1.616875293,81%
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120148,"Kalita, Prasanta K",5,32,5,1,7,0,2,3,2,0,3,0,0,0,3.46,2.261268081,62%
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120148,"Rausch, Kent D",0,2,4,4,5,5,0,0,1,1,1,0,0,0,2.97,1.291351037,9%
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120148,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64349,ABE,398,International Experience,SZ,LBD,120148,"Zahos, Stephen C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36669,ABE,430,Project Management,A,LCD,120148,"Schideman, Lance C",1,24,11,29,48,5,4,7,1,0,0,0,0,0,3.23,2.047464557,19%
49611,ABE,455,Erosion and Sediment Control,AB1,LBD,120148,"Bhattarai, Rabin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120148,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120148,"Hansen, Alan C",0,4,11,8,6,2,1,2,0,0,0,0,1,0,3.22,1.582798155,11%
29663,ABE,483,Engrg Properties of Food Matls,A,LEC,120148,"Rausch, Kent D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120148,"Singh, Vijay",3,4,6,7,3,4,0,1,1,0,0,0,0,1,3.33,1.135236759,24%
29670,ACCY,200,Fundamentals of Accounting,OL,ONL,120148,"Silhan, Peter A",4,72,59,50,40,29,23,12,10,6,3,1,1,0,3.19,3.760431645,25%
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120148,"Korte, Brianne E",7,8,6,4,3,4,0,1,1,0,0,0,0,0,3.49,1.272369836,44%
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120148,"Korte, Brianne E",4,6,9,3,6,4,1,2,2,0,0,0,0,0,3.28,1.407077349,27%
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120148,"Koziel, Mark C",8,8,8,3,4,1,2,0,0,0,1,0,1,0,3.44,1.742463135,44%
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120148,"Pollard, Robert C",4,4,10,5,3,4,1,0,3,0,2,0,1,0,3.09,1.894827169,22%
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120148,"Michelson, Mark J",2,6,1,7,5,3,3,1,1,0,2,0,1,0,2.96,1.664637553,25%
36489,ACCY,201,Accounting and Accountancy I,AD8,DIS,120148,"Koziel, Mark C",2,2,12,4,4,6,1,0,0,0,2,0,0,2,3.2,1.489546911,12%
36494,ACCY,201,Accounting and Accountancy I,ADA,DIS,120148,"Pollard, Robert C",4,5,9,1,2,3,5,1,3,0,0,0,1,0,3.09,1.759869313,26%
36496,ACCY,201,Accounting and Accountancy I,ADB,DIS,120148,"Michelson, Mark J",4,7,9,7,1,5,3,0,0,0,1,0,2,0,3.2,2.065591118,28%
36499,ACCY,201,Accounting and Accountancy I,ADC,DIS,120148,"Mora, Bradley J",5,8,9,2,2,2,0,0,1,0,2,0,1,0,3.33,1.905687394,41%
36502,ACCY,201,Accounting and Accountancy I,ADD,DIS,120148,"McConnell, Kelly R",4,13,4,4,4,5,1,2,1,0,0,0,0,0,3.4,1.399603118,45%
36506,ACCY,201,Accounting and Accountancy I,ADE,DIS,120148,"McConnell, Kelly R",1,9,7,5,4,3,3,0,2,0,2,0,2,0,3.02,2.120924327,26%
36509,ACCY,201,Accounting and Accountancy I,ADF,DIS,120148,"Zhang, Fangye",3,7,3,6,5,4,2,1,0,0,4,0,1,0,2.98,1.983340616,28%
36516,ACCY,201,Accounting and Accountancy I,ADH,DIS,120148,"Mora, Bradley J",4,3,5,5,4,1,1,1,0,0,1,0,1,0,3.19,1.533577517,27%
36522,ACCY,201,Accounting and Accountancy I,ADI,DIS,120148,"Tong, Shuqing",5,9,5,3,3,4,3,0,3,0,0,0,1,0,3.22,1.848554991,39%
36526,ACCY,201,Accounting and Accountancy I,ADJ,DIS,120148,"Storto, Joseph M",5,6,11,6,1,5,0,2,0,0,1,0,0,0,3.4,1.470544117,30%
36536,ACCY,201,Accounting and Accountancy I,ADL,DIS,120148,"Tong, Shuqing",4,9,8,2,3,3,2,3,0,0,0,0,0,2,3.4,1.3995535,38%
36538,ACCY,201,Accounting and Accountancy I,ADM,DIS,120148,"Storto, Joseph M",5,6,9,4,5,0,1,2,2,0,2,0,2,0,3.08,2.176492591,29%
36543,ACCY,201,Accounting and Accountancy I,ADN,DIS,120148,"Zhang, Fangye",4,6,6,3,2,1,1,3,1,0,3,0,0,0,3.12,1.732050808,33%
36552,ACCY,202,Accounting and Accountancy II,AD1,DIS,120148,"Jin, Yiyun",1,7,2,4,5,3,1,2,0,0,1,0,1,0,3.07,1.579629703,30%
36556,ACCY,202,Accounting and Accountancy II,AD2,DIS,120148,"Jin, Yiyun",1,9,7,10,8,4,2,0,3,0,1,0,1,1,3.14,1.812445861,22%
36560,ACCY,202,Accounting and Accountancy II,AD3,DIS,120148,"Ladd, Dylan T",3,16,2,10,4,3,3,2,1,0,0,0,0,0,3.39,1.478151999,43%
36565,ACCY,202,Accounting and Accountancy II,AD4,DIS,120148,"Ladd, Dylan T",1,11,10,10,7,2,3,1,0,0,0,0,0,0,3.41,1.275171557,27%
36568,ACCY,202,Accounting and Accountancy II,AD5,DIS,120148,"Lie, Jeane Natalia",1,9,8,12,8,4,1,1,0,0,0,0,0,0,3.37,1.162518817,23%
36574,ACCY,202,Accounting and Accountancy II,AD6,DIS,120148,"Lie, Jeane Natalia",1,6,9,13,6,3,1,0,0,0,2,0,0,1,3.28,1.502431363,17%
36577,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120148,"Winn, Amanda M",0,6,3,7,5,1,3,2,2,0,1,0,0,0,3.04,1.452660395,20%
36581,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120148,"Winn, Amanda M",0,11,5,2,10,0,1,2,0,0,0,0,0,0,3.4,1.36381817,35%
36584,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120148,"Winn, Amanda M",0,13,8,3,6,1,0,0,0,0,0,0,0,0,3.61,1.038373728,42%
36587,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120148,"Jackson, Kevin",0,8,8,5,8,1,1,2,0,1,0,0,0,0,3.3,1.353698637,24%
36590,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120148,"Jackson, Kevin",0,13,6,0,9,2,0,2,0,0,0,0,0,0,3.45,1.513935269,41%
36592,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120148,"Finnegan, Thomas",0,5,13,2,11,1,0,0,0,0,0,0,0,0,3.44,1.016188959,16%
36596,ACCY,301,Atg Measurement & Disclosure,AE7,LCD,120148,"Finnegan, Thomas",0,7,4,5,9,3,3,1,1,0,0,0,0,0,3.18,1.262398511,21%
36598,ACCY,301,Atg Measurement & Disclosure,AE8,LCD,120148,"Jackson, Kevin",1,11,7,4,3,0,1,2,1,0,0,0,0,0,3.47,1.291462349,40%
49255,ACCY,301,Atg Measurement & Disclosure,AEB,LCD,120148,"Finnegan, Thomas",0,9,8,5,5,3,0,0,0,0,0,0,0,1,3.5,1.089954127,30%
36610,ACCY,302,Decision Making for Atg,AE1,LCD,120148,"Autrey, Romana L",0,5,5,8,3,7,0,0,0,1,0,1,0,1,3.16,1.52184099,17%
36614,ACCY,302,Decision Making for Atg,AE2,LCD,120148,"Autrey, Romana L",0,4,7,9,9,4,0,0,0,0,0,0,0,0,3.31,1.031823628,12%
36618,ACCY,302,Decision Making for Atg,AE3,LCD,120148,"Finnegan, Thomas",0,4,11,9,5,3,0,1,0,0,0,0,0,0,3.37,1.059693352,12%
36677,ACCY,302,Decision Making for Atg,AE4,LCD,120148,"Zhang, Li",1,6,8,6,5,3,2,1,0,0,0,0,0,0,3.34,1.11024772,22%
36680,ACCY,302,Decision Making for Atg,AE5,LCD,120148,"Autrey, Romana L",0,7,9,5,9,3,0,0,0,0,0,0,0,0,3.41,1.120651596,21%
36688,ACCY,302,Decision Making for Atg,AE8,LCD,120148,"Chen, Xiaoling",2,5,3,4,9,7,1,1,0,0,0,0,0,0,3.2,1.097155413,22%
49257,ACCY,302,Decision Making for Atg,AE9,LCD,120148,"Chen, Xiaoling",1,8,6,3,12,1,2,0,0,0,0,0,0,0,3.37,1.109806933,27%
49258,ACCY,302,Decision Making for Atg,AEA,LCD,120148,"Chen, Xiaoling",0,11,5,5,7,5,0,0,1,0,0,0,0,0,3.38,1.348925498,32%
36692,ACCY,303,Atg Institutions and Reg,AE1,LCD,120148,"Li, Wei",0,6,11,6,5,0,1,2,2,1,1,1,0,0,3.11,1.717311853,17%
36700,ACCY,303,Atg Institutions and Reg,AE2,LCD,120148,"Li, Wei",3,7,7,14,3,2,0,0,1,0,0,0,0,0,3.47,1.106171002,27%
36701,ACCY,303,Atg Institutions and Reg,AE3,LCD,120148,"Brown, Timothy J",4,10,8,8,4,0,0,3,0,1,0,0,0,0,3.46,1.542484082,37%
36713,ACCY,303,Atg Institutions and Reg,AE4,LCD,120148,"Brown, Timothy J",1,6,10,7,7,3,3,1,0,0,0,0,0,0,3.32,1.194633835,18%
49259,ACCY,303,Atg Institutions and Reg,AE5,LCD,120148,"Li, Wei",0,7,12,11,3,2,1,0,1,1,0,0,0,0,3.38,1.306866481,18%
36703,ACCY,303,Atg Institutions and Reg,AE6,LCD,120148,"Brown, Timothy J",1,9,10,6,4,4,0,0,2,1,0,0,1,0,3.26,1.772719192,26%
31317,ACCY,304,Accounting Control Systems,AE1,LCD,120148,"Koo, Seung Hyun",1,12,3,4,6,2,5,0,2,0,0,0,0,0,3.28,1.508641773,37%
31318,ACCY,304,Accounting Control Systems,AE2,LCD,120148,"Koo, Seung Hyun",0,7,4,11,10,3,2,0,0,0,0,0,0,0,3.3,1.158303357,19%
31319,ACCY,304,Accounting Control Systems,AE3,LCD,120148,"Koo, Seung Hyun",0,11,2,10,7,5,1,0,1,0,0,0,0,0,3.32,1.291886771,30%
31320,ACCY,304,Accounting Control Systems,AE4,LCD,120148,"Wang, Wei",0,10,6,2,7,7,0,1,0,0,1,0,1,0,3.18,1.819065694,29%
49280,ACCY,304,Accounting Control Systems,AE5,LCD,120148,"Wang, Wei",0,11,4,2,12,4,0,3,0,0,1,0,0,0,3.22,1.633698696,30%
62036,ACCY,304,Accounting Control Systems,AE6,LCD,120148,"Wang, Wei",0,12,11,7,5,2,0,0,0,0,0,0,0,0,3.57,1.100299959,32%
31321,ACCY,312,Principles of Taxation,A,LCD,120148,"Bauer, Andrew M",0,7,7,7,9,5,2,2,0,0,1,0,0,0,3.18,1.467566012,18%
31324,ACCY,312,Principles of Taxation,B,LCD,120148,"Bauer, Andrew M",4,6,7,8,8,2,3,1,0,0,0,0,0,0,3.35,1.227675649,26%
31330,ACCY,312,Principles of Taxation,C,LCD,120148,"Bauer, Andrew M",3,6,11,6,7,4,3,0,0,0,0,0,0,0,3.38,1.252654325,23%
31332,ACCY,312,Principles of Taxation,D,LCD,120148,"Holder, Daniel E",1,10,0,3,9,2,0,2,1,0,1,0,0,1,3.21,1.495781568,38%
31333,ACCY,312,Principles of Taxation,E,LCD,120148,"Donohoe, Michael P",2,2,13,6,4,1,5,1,1,2,0,0,0,0,3.14,1.453726247,11%
