CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
32896,AAS,100,Intro Asian American Studies,AA,LCD,120105,"Kwon, Soo Ah",14,6,1,0,0,1,0,0,0,0,0,0,0,0,3.92,0.645135645,91%
30561,ACCY,201,Accounting and Accountancy I,A,LCD,120105,"Feller, Anita L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120105,"Finnegan, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120105,"Altiero, Elizabeth C",0,7,8,7,4,2,0,0,0,0,0,0,0,0,3.5,0.962288938,25%
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120105,"White, Brian J",1,6,9,4,2,1,0,0,0,0,0,0,0,0,3.61,0.718134156,30%
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120105,"Nichol, Jennifer E",0,4,8,4,8,1,0,1,0,0,0,0,0,0,3.36,0.991598037,15%
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120105,"Turner, Cynthia W",0,7,2,4,8,4,2,0,0,0,0,0,0,0,3.26,1.144930857,26%
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120105,"Cao, Shun",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120105,"Chang, Hye Sun",4,9,2,5,4,0,0,0,0,0,0,0,0,1,3.67,0.882904298,54%
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120105,"Cardamone, Salvatore",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120105,"Feller, Anita L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30080,ACCY,312,Principles of Taxation,A,LCD,120105,"Holder, Daniel E",1,9,2,2,7,1,0,2,0,0,0,0,0,0,3.4,1.154494323,42%
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120105,"Rowe, Stephen P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120105,"Zimbelman, Aaron F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120105,"Brown, Clifton E",2,6,9,6,12,0,0,0,0,0,0,0,0,0,3.46,1.052995726,23%
30083,ACCY,501,Accounting Analysis I,A,LCD,120105,"Ibrahim, Adel Nematallah",0,15,3,3,2,3,0,0,0,0,0,0,0,0,3.65,1.073778376,58%
30086,ACCY,501,Accounting Analysis I,B,LCD,120105,"Ibrahim, Adel Nematallah",0,15,7,3,8,3,0,1,0,0,0,0,0,0,3.51,1.31121445,41%
32857,ACCY,510,Financial Reporting Standards,A,LCD,120105,"Polinski, Paul W",0,3,10,11,2,0,0,0,0,0,0,0,0,0,3.51,0.722253418,12%
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120105,"Nekrasz, Frank",1,10,3,3,4,0,0,0,0,0,0,0,0,0,3.67,0.825457449,52%
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120105,"Shaw, Jeffrey M",7,9,5,1,4,1,3,1,0,0,0,0,0,0,3.53,1.246189191,52%
33980,ACCY,560,Information in Value Creation,A,LCD,120105,"Brown, Clifton E",2,13,17,8,3,0,0,0,0,0,0,0,0,0,3.68,0.90390265,35%
34580,ACCY,560,Information in Value Creation,B,LCD,120105,"Chandler, John S",4,13,21,3,4,0,0,0,0,0,0,0,0,0,3.71,0.889100669,38%
34342,ACCY,560,Information in Value Creation,CHI,LCD,120105,"Chandler, John S",9,11,5,4,2,0,0,0,0,0,0,0,0,0,3.8,0.791201618,65%
30119,ACE,161,Microcomputer Applications,S,LBD,120105,"Shah, Payal S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35626,ACE,240,Personal Financial Planning,XM,ONL,120105,"Tang, Lisa B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30132,ADV,300,Introduction to Advertising,A,LCD,120105,"Olson, Katrina M",10,10,5,2,4,3,1,1,1,0,0,0,0,0,3.54,1.293281786,54%
35622,ADV,400,Branding Italian Cuisine,XM1,STA,120105,"Mincyte, Diana",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34825,AFRO,101,"Black America, 1619-Present",SU1,LCD,120105,"Lang, Clarence E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35620,AGCM,270,Sales Communications,XM,ONL,120105,"Cupps-Miller, Heather A",0,26,0,0,1,0,0,0,0,0,0,0,0,0,3.96,0.693974063,96%
32333,AGED,500,Research Methods & Design,XM,ONL,120105,"Anderson, James C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35571,AIS,101,Intro to Amer Indian Studies,JL,LCD,120105,"Low, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
