Subject,Course,CRN,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,200,37453,Fundamentals of Accounting,ONL,3,31,8,15,9,11,6,6,1,1,0,3,1,0,3.19,"Silhan, Peter A"
ACCY,202,30562,Accounting and Accountancy II,ONL,1,6,1,4,9,1,2,5,1,0,1,0,0,0,2.97,"Shapland, Julia P"
ACCY,301,30026,Atg Measurement & Disclosure,ONL,0,9,11,5,5,1,3,0,0,0,0,0,0,0,3.46,"Lyman, Rachel B"
ACCY,302,30037,Decision Making for Atg,ONL,4,14,4,3,1,0,0,1,0,0,0,0,0,0,3.77,"Zhang, Zheng"
ACCY,410,38235,Advanced Financial Reporting,ONL,9,6,3,1,2,3,1,1,0,0,0,0,1,0,3.43,"Penn, Michael W"
ACCY,503,40498,Managerial Accounting,ONL,12,96,75,44,44,9,4,4,1,1,2,0,0,0,3.53,"Hecht, Gary W"
ACCY,503,38412,Managerial Accounting,ONL,0,7,7,2,7,1,2,0,0,0,0,0,0,0,3.41,"Hecht, Gary W"
ACE,161,37025,Microcomputer Applications,ONL,0,13,0,0,5,0,0,0,0,0,2,0,2,0,3.14,"Burnett, Meghan L"
ACE,240,37924,Personal Financial Planning,ONL,5,5,5,6,13,5,2,0,0,0,0,0,0,1,3.3,"Stoddard, Paul B"
ADV,409,40279,Media Entrepreneurship,ONL,0,13,4,2,1,0,1,1,0,0,0,0,0,0,3.67,"Raquel, Steve A"
AE,402,38842,Orbital Mechanics,ONL,0,4,7,6,3,2,2,1,0,0,0,0,0,0,3.32,"Chilan, Christian M"
AFRO,100,31247,Intro to African American St,ONL,11,21,7,3,7,1,3,0,1,1,1,0,6,0,3.2,"McMillion, Desiree Y"
ANSC,110,30180,Life With Animals and Biotech,ONL,5,9,1,2,10,3,0,3,0,1,0,0,0,2,3.28,"Allen, Crystal A"
ANSC,205,40206,World Animal Resources,ONL,63,17,3,1,3,2,0,0,1,0,0,0,1,0,3.85,"Emmert, Jason L"
ANSC,250,40201,Companion Animals in Society,ONL,12,12,3,2,2,0,0,1,0,2,0,0,2,0,3.45,"Richardson, Sarah D"
ANTH,143,36297,Biology of Human Behavior,ONL,12,5,3,2,2,2,0,3,1,0,0,1,2,0,3.19,"Cupka Head, Kevin M"
ANTH,180,40187,The Archaeology of Death,ONL,24,6,2,0,1,0,0,0,0,0,0,0,1,0,3.83,"Silverman, Helaine I"
ANTH,246,38262,Forensic Science,ONL,8,29,5,5,2,0,0,5,0,1,1,0,1,0,3.53,"Yim, An-Di"
ARCH,314,38560,History of World Landscapes,ONL,17,10,2,0,1,0,0,0,0,0,0,0,1,0,3.82,"Thomas, Jennifer L"
ART,100,35192,Understanding Visual Culture,ONL,0,24,1,0,1,0,0,0,0,0,0,0,0,1,3.95,"Hetrick, Laura"
ARTD,209,38341,Chado (The Way of Tea),ONL,7,16,2,5,3,2,0,4,3,0,0,0,5,1,3.05,"Gunji-Ballsrud, Jennifer"
ASTR,100,37432,Introduction to Astronomy,ONL,6,12,2,6,2,2,2,1,0,1,0,0,5,0,3.04,"Winans, Amanda"
