CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120138,"Arai, Sayuri",6,16,5,3,2,3,0,0,0,0,0,0,0,0,3.72,1.033924562,63%
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120138,"Arai, Sayuri",6,11,4,5,6,1,0,0,0,0,0,0,0,0,3.64,1.01133575,52%
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120138,"Davis, Thomas E",2,24,1,2,4,1,1,0,0,0,0,0,0,0,3.75,1.034235397,74%
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120138,"Davis, Thomas E",7,16,4,4,0,2,2,0,0,0,0,0,0,0,3.71,1.198853619,66%
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120138,"Thomas, Merin A",4,12,6,3,2,2,0,0,0,0,0,0,0,0,3.7,0.903696114,55%
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120138,"Thomas, Merin A",12,14,2,2,1,2,0,0,0,0,0,0,0,0,3.83,0.874614201,79%
58092,AAS,287,Food and Asian Americans,A,LCD,120138,"Manalansan, Martin F",0,23,2,4,2,3,2,0,0,0,0,0,0,1,3.65,1.323505446,64%
59944,AAS,291,Hinduism in the United States,RP,LCD,120138,"Pandharipande, R V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120138,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45334,AAS,490,Adv Social Science Methods,KG4,LCD,120138,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58576,AAS,561,Race and Cultural Critique,A,LCD,120138,"Koshy, Susan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120138,"Gates, Richard S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10680,ABE,199,Sustainable Biosystems Intrntl,LFR,LCD,120138,"Rodriguez, Luis F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120138,"Grift, Tony E",3,24,8,2,6,0,0,3,0,0,2,0,0,0,3.54,1.992873016,56%
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120138,"Kalita, Prasanta K",0,32,0,10,6,0,0,0,0,0,2,0,0,1,3.63,2.32835779,64%
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120138,"Danao, Mary-Grace",1,2,3,3,5,7,2,3,2,0,1,0,0,0,2.82,1.258316335,10%
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120138,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36669,ABE,430,Project Management,A,LCD,120138,"Schideman, Lance C",0,15,12,15,53,15,5,7,4,0,0,0,0,0,3.06,2.216968651,12%
49611,ABE,455,Erosion and Sediment Control,AB1,LBD,120138,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
