CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120151,"Thomas, Merin A",0,8,7,1,6,6,0,2,0,0,0,0,1,0,3.19,1.762591436,0.258064516
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120151,"Thomas, Merin A",3,6,6,4,4,3,1,2,0,0,0,0,1,0,3.26,1.564608577,0.3
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120151,"Peralta, Christine N",0,17,4,6,0,0,1,0,0,0,0,0,3,0,3.39,2.912837105,0.548387097
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120151,"Peralta, Christine N",0,12,8,5,1,3,0,0,0,0,0,0,0,0,3.62,1.021724033,0.413793103
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120151,"Lee, Sang S",1,10,4,3,6,0,1,2,0,0,0,0,0,0,3.44,1.218148478,0.407407407
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120151,"Lee, Sang S",1,7,6,7,4,1,0,1,0,0,0,0,0,0,3.48,0.956242647,0.296296296
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120151,"Esguerra, Maria Paz G",6,7,5,2,0,3,3,0,1,0,0,0,1,0,3.35,1.754636715,0.464285714
52317,AAS,215,US Citizenship Comparatively,A,LCD,120151,"Bui, Long T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62340,AAS,250,Filipina/o Americans,CA,LCD,120151,"Arnaldo, Constancio R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120151,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120151,"Cagle, Robert L",6,15,0,0,1,0,3,1,1,0,0,0,2,0,3.37,2.369029337,0.724137931
51232,AAS,390,"Immigration, Law, and Culture",NP,LCD,120151,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62099,AAS,501,Theory and Methods in AAS,A,LCD,120151,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52839,AAS,561,Race and Cultural Critique,A,LCD,120151,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120151,"Bhalerao, Kaustubh",15,16,13,5,1,0,0,0,0,0,0,0,1,0,3.75,1.71306256,0.607843137
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120151,"Zhang, Yuanhui",4,6,2,6,9,1,1,6,0,0,0,0,2,0,3.01,2.00276753,0.27027027
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120151,"Singh, Vijay",13,7,5,4,5,0,1,1,0,0,1,0,2,0,3.38,2.122147759,0.512820513
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120151,"Grift, Tony E",2,28,3,4,2,2,1,0,0,0,0,0,0,0,3.76,1.076979904,0.714285714
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120151,"Wang, Xinlei",4,10,16,14,11,1,1,4,0,0,0,0,0,0,3.41,1.496917666,0.229508197
51916,ABE,446,Biological Nanoengineering,KB1,LEC,120151,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51917,ABE,446,Biological Nanoengineering,KB2,LEC,120151,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120151,"Bhattarai, Rabin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120151,"Bhattarai, Rabin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
